locator_domain,page_url,location_name,street_address,city,state,zip,store_number,phone,latitude,longitude,country_code,location_type,hours_of_operation
novanthealth.org,https://www.novanthealth.org/forsyth-medical-center/services/emergency.aspx?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=ER-04,Emergency Room - Novant Health Forsyth Medical Center,3333 Silas Creek Pkwy,Winston-Salem,NC,27103,ER04,336-718-2293,36.076444,-80.29657,US,emergency room,Open 24 hours
novanthealth.org,https://www.novanthealth.org/huntersville-medical-center/services/emergency.aspx?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=ER-06,Emergency Room - Novant Health Huntersville Medical Center,10030 Gilead Rd,Huntersville,NC,28078,ER06,704-316-4050,35.40645,-80.860179,US,emergency room,Open 24 hours
novanthealth.org,https://www.novanthealth.org/kernersville-medical-center/services/emergency.aspx?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=ER-07,Emergency Room - Novant Health Kernersville Medical Center,1750 Kernersville Medical Pkwy,Kernersville,NC,27284,ER07,336-564-4000,36.091313,-80.044411,US,emergency room,Open 24 hours
novanthealth.org,https://www.novanthealth.org/matthews-medical-center/services/emergency.aspx?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=ER-08,Emergency Room - Novant Health Matthews Medical Center,1500 Matthews Township Pkwy,Matthews,NC,28105,ER08,704-384-6500,35.119742,-80.71482,US,emergency room,Open 24 hours
novanthealth.org,https://www.novanthealth.org/mint-hill-medical-center/services/emergency.aspx?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=ER-10,Emergency Room - Novant Health Mint Hill Medical Center,8201 Healthcare Loop,Charlotte,NC,28215,ER10,980-302-1000,35.22274,-80.647528,US,emergency room,Open 24 hours
novanthealth.org,https://www.novanthealth.org/presbyterian-medical-center/services/emergency.aspx?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=ER-11,Emergency Room - Novant Health Presbyterian Medical Center,200 Hawthorne Ln,Charlotte,NC,28204,ER11,704-384-4000,35.211974,-80.824647,US,emergency room,Open 24 hours
novanthealth.org,https://www.novanthealth.org/rowan-medical-center/services/emergency.aspx?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=ER-12,Emergency Room - Novant Health Rowan Medical Center,612 Mocksville Ave,Salisbury,NC,28144,ER12,704-210-5000,35.681748,-80.470544,US,emergency room,Open 24 hours
novanthealth.org,https://www.novanthealth.org/thomasville-medical-center/services/emergency.aspx?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=ER-13,Emergency Room - Novant Health Thomasville Medical Center,207 Old Lexington Rd,Thomasville,NC,27360,ER13,336-472-2000,35.880326,-80.111171,US,emergency room,Open 24 hours
novanthealth.org,https://www.nhrmc.org/services/emergency/departments/pender?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=ER-19,Emergency Room - Pender Memorial Hospital,507 E Fremont Street,Burgaw,NC,28425,ER19,910-259-5451,34.550567,-77.91987,US,emergency room,Open 24 hours
novanthealth.org,https://www.matthewssurgerycenter.com/?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=OP-028,Matthews Surgery Center,"710 Park Center Drive,Suite 100",Matthews,NC,28105,OP028,704-815-7880,35.121741,-80.721702,US,clinic and outpatient center,Mon-Fri 5:30 AM - 5 PM
novanthealth.org,https://www.movementfamilywellness.org?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=MG-493,"Movement Family Wellness Center, powered by Novant Health",2225 Freedom Drive,Charlotte,NC,28208,MG493,980-302-9000,35.23336,-80.877732,US,clinic and outpatient center,Mon-Fri 8 AM - 5 PM
novanthealth.org,https://www.nhrmc.org/?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=MC-17,New Hanover Regional Medical Center,2131 S. 17th Street,Wilmington,NC,28401,MC17,910-667-7000,34.206007,-77.921524,US,hospital,Open 24 hours
novanthealth.org,https://www.nhrmc.org/locations/new-hanover-regional-medical-center-behavioral-health-hospital?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=MC-21,New Hanover Regional Medical Center Behavioral Health Hospital,2131 S. 17th Street,Wilmington,NC,28401,MC21,910-667-7787,34.206007,-77.921524,US,hospital,Open 24 hours
novanthealth.org,https://www.nhrmc.org/locations/betty-h-cameron-womens-and-childrens-hospital?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=MC-20,New Hanover Regional Medical Center Betty H. Cameron Women's & Children's Hospital,2131 S. 17th Street,Wilmington,NC,28401,MC20,910-667-7360,34.206007,-77.921524,US,hospital,Open 24 hours
novanthealth.org,https://www.nhrmc.org/locations/nhrmc-emergency-department-north?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=ER-17,New Hanover Regional Medical Center Emergency Department - North,151 Scotts Hill Medical Drive,Wilmington,NC,28411,ER02,910-662-9000,34.31594,-77.768006,US,emergency room,Open 24 hours
novanthealth.org,https://www.nhrmc.org/locations/nhrmc-orthopedic-hospital?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=MC-18,New Hanover Regional Medical Center Orthopedic Hospital,5301 Wrightsville Avenue,Wilmington,NC,28403,MC18,910-667-8100,34.21292,-77.862777,US,hospital,Open 24 hours
novanthealth.org,https://www.nhrmc.org/locations/nhrmc-rehabilitation-hospital?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=MC-22,New Hanover Regional Medical Center Rehabilitation Hospital,2131 S. 17th Street,Wilmington,NC,28401,MC22,910-667-7835,34.206007,-77.921524,US,hospital,Open 24 hours
novanthealth.org,https://www.novanthealth.org/clinic-locations/novant-health-adult-primary-care-harper-hill.aspx?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=MG-457,Novant Health Adult Primary Care Harper Hill,4937 Old Country Club Road,Winston-Salem,NC,27104,MG457,336-718-4510,36.083742,-80.345549,US,clinic and outpatient center,"Mon-Fri 7:30 AM - 5:30 PM, Sat 8 AM - 5 PM"
novanthealth.org,https://www.novanthealth.org/clinic-locations/novant-health-adult-primary-care-tanglewood.aspx?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=MG-529,Novant Health Adult Primary Care Tanglewood,4136 Clemmons Road,Clemmons,NC,27012,MG529,336-893-3270,36.020063,-80.406418,US,clinic and outpatient center,"Mon-Fri 7:30 AM - 12 PM, 1 PM - 5 PM"
novanthealth.org,https://www.novanthealth.org/clinic-locations/novant-health-adult-primary-care-waughtown.aspx?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=MG-552,Novant Health Adult Primary Care Waughtown,652 East Monmouth Street,Winston Salem,NC,27107,MG552,336-718-4390,36.0691,-80.225095,US,clinic and outpatient center,Mon-Fri 8 AM - 5 PM
novanthealth.org,http://www.nhappelplasticsurgery.org/?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=MG-443,Novant Health Appel Plastic Surgery - Huntersville,"9735 Kincey Avenue,Suite 205",Huntersville,NC,28078,MG443,704-316-5025,35.404531,-80.864579,US,clinic and outpatient center,Wed 7:30 AM - 4:30 PM
novanthealth.org,http://www.nhappelplasticsurgery.org/?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=MG-001,Novant Health Appel Plastic Surgery - Myers Park,"1901 Brunswick Avenue,Suite 200",Charlotte,NC,28207,MG001,704-316-5025,35.201181,-80.834362,US,clinic and outpatient center,"Fri 8 AM - 3 PM, Mon-Thu 8 AM - 5 PM"
novanthealth.org,http://www.nharborpediatrics.org/?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=MG-002,Novant Health Arbor Pediatrics,"2927 Lyndhurst Ave.,Suite 312",Winston-Salem,NC,27103,MG002,336-277-1650,36.079458,-80.292377,US,clinic and outpatient center,Mon-Fri 8 AM - 5 PM
novanthealth.org,https://www.novanthealth.org/clinic-locations/novant-health-arboretum-family--sports-medicine.aspx?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=MG-003,Novant Health Arboretum Family & Sports Medicine,"7903 Providence Road,Suite 100",Charlotte,NC,28277,MG003,704-316-4460,35.099842,-80.776818,US,clinic and outpatient center,Mon-Fri 7 AM - 5 PM
novanthealth.org,https://www.nharboretumpediatrics51.org/?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=MG-004,Novant Health Arboretum Pediatrics 51,"3135 Springbank Lane,Suite 100",Charlotte,NC,28226,MG004,704-384-5151,35.101503,-80.781826,US,clinic and outpatient center,"Mon-Fri 8 AM - 5 PM, Sat 8 AM - 12 PM"
novanthealth.org,https://www.novanthealth.org/clinic-locations/novant-health-arcadia-family-medicine.aspx?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=MG-005 ,Novant Health Arcadia Family Medicine,12208 NC Highway 150,Winston-Salem,NC,27127,MG005,336-764-2324,35.993111,-80.268328,US,clinic and outpatient center,"Mon-Fri 8 AM - 12 PM, 1 PM - 5 PM"
novanthealth.org,https://www.novanthealth.org/clinic-locations/novant-health-austin-village-family-medicine.aspx?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=MG-503,Novant Health Austin Village Family Medicine,4105 Matthews Mint Hill Road,Matthews,NC,28105,MG503,704-316-3095,35.146627,-80.681455,US,clinic and outpatient center,"Fri 8 AM - 12 PM, Mon-Thu 7:30 AM - 5:30 PM"
novanthealth.org,https://www.novanthealth.org/clinic-locations/novant-health-ballantyne-family--sports-medicine.aspx?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=MG-456,Novant Health Ballantyne Family & Sports Medicine,"15033 Ballancroft Parkway,Suite 200",Charlotte,NC,28277,MG456,704-316-2920,35.041334,-80.848302,US,clinic and outpatient center,Mon-Fri 8 AM - 5 PM
novanthealth.org,http://www.nhballantynemedicalgroup.org/?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=MG-007,Novant Health Ballantyne Medical Group,"15825 Ballantyne Medical Place,Suite 200",Charlotte,NC,28277,MG007,704-384-1925,35.056863,-80.853552,US,clinic and outpatient center,Mon-Fri 8 AM - 5 PM
novanthealth.org,https://www.novanthealth.org/home/services/surgery.aspx?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=OP-022,Novant Health Ballantyne Outpatient Surgery Center,"14215 Ballantyne Corporate Place,Suite 210",Charlotte,NC,28277,OP022,704-316-2650,35.056619,-80.856028,US,clinic and outpatient center,Mon-Fri 6 AM - 4 PM
novanthealth.org,http://www.nhballantynepediatrics.org/?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=MG-008,Novant Health Ballantyne Pediatrics,"14215 Ballantyne Corporate Place,Suite 130",Charlotte,NC,28277,MG008,704-384-1950,35.056619,-80.856028,US,clinic and outpatient center,"Fri 8 AM - 5 PM, Mon-Thu 8 AM - 8 PM, Sat 1 PM - 5 PM"
novanthealth.org,https://www.novanthealth.org/clinic-locations.aspx?pname=bariatric+solutions&utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=MG-009,Novant Health Bariatric & General Surgery - Kernersville,"1730 Kernersville Medical Parkway,Suite 101",Kernersville,NC,27284,MG009,336-564-4035,36.091183,-80.044625,US,clinic and outpatient center,"Mon-Fri 8 AM - 12 PM, 1 PM - 5 PM"
novanthealth.org,https://www.novanthealth.org/clinic-locations/novant-health-bariatric-solutions---ballantyne.aspx?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=MG-010,Novant Health Bariatric Solutions - Ballantyne,"14215 Ballantyne Corporate Place,Suite 240",Charlotte,NC,28277,MG010,704-316-7760,35.056619,-80.856028,US,clinic and outpatient center,Mon-Thu 8 AM - 5 PM
novanthealth.org,https://www.novanthealth.org/clinic-locations/novant-health-bariatric-solutions---elizabeth.aspx?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=MG-011 ,Novant Health Bariatric Solutions - Elizabeth,"325 Hawthorne Lane,Suite 100",Charlotte,NC,28207,MG011,704-316-7760,35.21486,-80.823895,US,clinic and outpatient center,"Fri 8 AM - 12:30 PM, Mon-Thu 8 AM - 5 PM"
novanthealth.org,https://www.novanthealth.org/clinic-locations/novant-health-bariatric-solutions---greensboro.aspx?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=MG-012,Novant Health Bariatric Solutions - Greensboro,5701 W. Friendly Ave.,Greensboro,NC,27410,MG012,336-660-5100,36.089267,-79.886863,US,clinic and outpatient center,Mon-Fri 8 AM - 5 PM
novanthealth.org,https://www.novanthealth.org/clinic-locations/novant-health-bariatric-solutions---highland-oaks.aspx?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=MG-017 ,Novant Health Bariatric Solutions - Highland Oaks,"760 Highland Oaks Drive,Suite 200",Winston-Salem,NC,27103,MG017,336-277-4380,36.059886,-80.303121,US,clinic and outpatient center,Mon-Fri 8 AM - 5 PM
novanthealth.org,https://www.novanthealth.org/clinic-locations/novant-health-bariatric-solutions---huntersville.aspx?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=MG-013,Novant Health Bariatric Solutions - Huntersville,"16525 Holly Crest Lane,Suite 210",Huntersville,NC,28078,MG013,704-316-7760,35.439364,-80.864718,US,clinic and outpatient center,"Fri 8 AM - 12:30 PM, Mon-Thu 8 AM - 5 PM"
novanthealth.org,https://www.novanthealth.org/clinic-locations/novant-health-bariatric-solutions---kernersville.aspx?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=MG-014 ,Novant Health Bariatric Solutions - Kernersville,"1730 Kernersville Medical Parkway,Suite 101",Kernersville,NC,27284,MG014,336-564-4950,36.091183,-80.044625,US,clinic and outpatient center,Mon-Fri 9 AM - 5 PM
novanthealth.org,https://www.novanthealth.org/clinic-locations/novant-health-bariatric-solutions---matthews.aspx?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=MG-015,Novant Health Bariatric Solutions - Matthews,"1450 Matthews Township Parkway,Suite 110",Matthews,NC,28105,MG015,704-316-7740,35.119634,-80.714252,US,clinic and outpatient center,"Fri 8 AM - 12 PM, Mon-Thu 8 AM - 5 PM"
novanthealth.org,https://www.novanthealth.org/clinic-locations/novant-health-bariatric-solutions---salisbury.aspx?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=MG-016 ,Novant Health Bariatric Solutions - Salisbury,"1910 Jake Alexander Blvd. West,Suite 201",Salisbury,NC,28147,MG016,704-638-8631,35.690855,-80.510677,US,clinic and outpatient center,"Fri 8:30 AM - 12 PM, Mon-Thu 8:30 AM - 5 PM"
novanthealth.org,http://www.nhblakeneyfamilyphysicians.org/?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=MG-021,Novant Health Blakeney Family Physicians,"5815 Blakeney Park Drive,Suite 200-B",Charlotte,NC,28277,MG021,704-316-5080,35.033224,-80.80685,US,clinic and outpatient center,"Fri 7 AM - 5 PM, Mon-Thu 7 AM - 7 PM, Sat 8 AM - 12 PM"
novanthealth.org,http://www.nhbradfordclinicobgyn.org?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=MG-022,Novant Health Bradford Clinic OB/GYN - Ballantyne,"12611 North Community House Road,Suite 200",Charlotte,NC,28277,MG022,704-731-1014,35.070801,-80.844821,US,clinic and outpatient center,Mon-Fri 8:30 AM - 5 PM
novanthealth.org,http://www.nhbradfordclinicobgyn.org?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=MG-023,Novant Health Bradford Clinic OB/GYN - Charlotte,"325 Hawthorne Lane,Suite 200",Charlotte,NC,28204,MG023,704-973-2106,35.214673,-80.823454,US,clinic and outpatient center,Mon-Fri 8:30 AM - 5 PM
novanthealth.org,http://www.nhbradfordclinicobgyn.org?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=MG-024,Novant Health Bradford Clinic OB/GYN - Matthews,"1450 Matthews Township Parkway,Suite 200",Matthews,NC,28105,MG024,704-246-1846,35.12077,-80.71394,US,clinic and outpatient center,Mon-Fri 8:30 AM - 5 PM
novanthealth.org,https://www.novanthealth.org/clinic-locations/novant-health-brain--spine-surgery---ballantyne.aspx?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=MG-269,Novant Health Brain & Spine Surgery - Ballantyne,"7825 Ballantyne Commons Parkway,Suite 150",Charlotte,NC,28277,MG269,704-544-6920,35.057662,-80.811869,US,clinic and outpatient center,Mon-Fri 8 AM - 5 PM
novanthealth.org,https://www.novanthealth.org/clinic-locations/novant-health-brain--spine-surgery---bermuda-run.aspx?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=MG-459,Novant Health Brain & Spine Surgery - Bermuda Run,"152 East Kinderton Way,Suite 101",Bermuda Run,NC,27006,MG459,336-893-3190,36.012063,-80.423481,US,clinic and outpatient center,Mon-Fri 8 AM - 5 PM
novanthealth.org,https://www.novanthealth.org/clinic-locations/novant-health-brain--spine-surgery---cotswold.aspx?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=MG-025,Novant Health Brain & Spine Surgery - Cotswold,"330 Billingsley Road,Suite 202",Charlotte,NC,28211,MG025,704-316-3070,35.18991,-80.806547,US,clinic and outpatient center,Mon-Fri 8 AM - 5 PM
novanthealth.org,https://www.novanthealth.org/clinic-locations/novant-health-brain--spine-surgery---eastover.aspx?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=MG-006,Novant Health Brain & Spine Surgery - Eastover,"2711 Randolph Road, Suite 100",Charlotte,NC,28207,MG006,<MISSING>,35.201232,-80.81321,US,clinic and outpatient center,Wed 1 PM - 5 PM
novanthealth.org,https://www.novanthealth.org/clinic-locations/novant-health-brain--spine-surgery---greensboro.aspx?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=MG-548,Novant Health Brain & Spine Surgery - Greensboro,"3515 W. Market St.,Suite 210",Greensboro,NC,27403,MG548,336-660-5470,36.073323,-79.845854,US,clinic and outpatient center,Mon-Fri 8 AM - 5 PM
novanthealth.org,https://www.novanthealth.org/clinic-locations/novant-health-brain--spine-surgery---huntersville.aspx?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=MG-027,Novant Health Brain & Spine Surgery - Huntersville,"10305 Hamptons Park Drive,Suite 101",Huntersville,NC,28078,MG027,704-316-3070,35.430625,-80.865367,US,clinic and outpatient center,Tue 8 AM - 5 PM
novanthealth.org,https://www.novanthealth.org/clinic-locations/novant-health-brain--spine-surgery---kernersville.aspx?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=MG-028,Novant Health Brain & Spine Surgery - Kernersville,"1730 Kernersville Medical Parkway, Suite 204",Kernersville,NC,27284,MG028,336-515-7336,36.091183,-80.044625,US,clinic and outpatient center,Mon-Fri 8 AM - 5 PM
novanthealth.org,https://www.novanthealth.org/clinic-locations/novant-health-brain--spine-surgery---kimel-park.aspx?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=MG-029,Novant Health Brain & Spine Surgery - Kimel Park,"190 Kimel Park Drive,Suite 155",Winston-Salem,NC,27103,MG029,336-765-6637,36.058342,-80.303726,US,clinic and outpatient center,"Fri 8 AM - 3 PM, Mon-Thu 8 AM - 5 PM"
novanthealth.org,https://www.novanthealth.org/clinic-locations/novant-health-brain--spine-surgery---mint-hill.aspx?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=MG-515,Novant Health Brain & Spine Surgery - Mint Hill,"8201 Healthcare Loop,Suite 201",Charlotte,NC,28215,MG515,980-302-2060,35.223035,-80.648386,US,clinic and outpatient center,Tue-Wed 1 PM - 5 PM
novanthealth.org,https://www.novanthealth.org/clinic-locations/novant-health-brain--spine-surgery---mount-airy.aspx?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=MG-031,Novant Health Brain & Spine Surgery - Mt. Airy,"933 Rockford Street,Suite 2",Mount Airy,NC,27030,MG031,336-277-0220,36.487292,-80.610919,US,clinic and outpatient center,Thu 1 PM - 5 PM
novanthealth.org,https://www.novanthealth.org/clinic-locations/novant-health-brain--spine-surgery---randolph.aspx?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=MG-030,Novant Health Brain & Spine Surgery - Randolph,"1900 Randolph Road,Suite 1010",Charlotte,NC,28207,MG030,704-316-3070,35.210315,-80.824587,US,clinic and outpatient center,"Thu 8 AM - 12 PM, Wed 8 AM - 5 PM"
novanthealth.org,https://www.novanthealth.org/clinic-locations/novant-health-brain--spine-surgery---thomasville.aspx?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=MG-486,Novant Health Brain & Spine Surgery - Thomasville,"1219 Lexington Avenue,Suite B",Thomasville,NC,27360,MG486,336-481-8590,35.883083,-80.113378,US,clinic and outpatient center,"Fri 8 AM - 12 PM, Thu 1 PM - 5 PM, Wed 9 AM - 5 PM"
novanthealth.org,https://www.novanthealth.org/clinic-locations/novant-health-brain--spine-surgery---concord.aspx?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=MG-574,Novant Health Brain and Spine Surgery - Concord,"311 Coddle Market Drive NW,Suite 200",Charlotte,NC,28027,MG574,704-637-2409,35.410079,-80.663472,US,clinic and outpatient center,Wed 12 PM - 5 PM
novanthealth.org,https://www.novanthealth.org/home/services/imaging/imaging-locations/novant-health-breast-center-ballantyne.aspx?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=MQ-09,Novant Health Breast Center Ballantyne,"14215 Ballantyne Corporate Place, Suite 140",Charlotte,NC,28277,MQ09,704-384-1890,35.056619,-80.856028,US,imaging,"Mon-Fri 8 AM - 5 PM, Sat 8 AM - 12 PM"
novanthealth.org,https://www.novanthealth.org/home/services/imaging/imaging-locations/novant-health-breast-center-charlotte.aspx?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=MQ-08,Novant Health Breast Center Charlotte,1718 East 4th Street,Charlotte,NC,28204,MQ08,704-384-5000,35.211003,-80.825798,US,imaging,Mon-Fri 6:30 AM - 4:30 PM
novanthealth.org,https://www.novanthealth.org/home/services/imaging/imaging-locations/novant-health-breast-center-huntersville.aspx?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=MQ-11,Novant Health Breast Center Huntersville,"10030 Gilead Road,Suite 330",Huntersville,NC,28078,MQ11,704-316-5535,35.40645,-80.860179,US,imaging,"Mon-Fri 7 AM - 5 PM, Sat 8 AM - 12 PM"
novanthealth.org,https://www.novanthealth.org/home/services/imaging/imaging-locations/novant-health-breast-center-matthews.aspx?utm_source=NHLF&utm_medium=referral&utm_campaign=LF&utm_content=MQ-10,Novant Health Breast Center Matthews,1500 Matthews Township Parkway,Matthews,NC,28105,MQ10,704-384-6750,35.119742,-80.71482,US,imaging,"Mon-Fri 7 AM - 6 PM, Sat 8 AM - 12 PM"
